"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\EditingUserData\EditingUserData.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\EditingUserData\EditingUserData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\EditingUserData\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserCategories\UserCategories.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 51, 0, 0, 8, 59
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserCategories\UserCategories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 177, 0, 0, 0, 29, 206
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserCategories\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserData\UserData.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserData\UserData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserData\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserDevices\UserDevices.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 10, 45
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserDevices\UserDevices.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 9, 63
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserDevices\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserProfile\UserProfile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 33
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserProfile\UserProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 7, 39
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserProfile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserRecipes\UserRecipes.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserRecipes\UserRecipes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 16, 126
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserRecipes\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserSettings\UserSettings.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserSettings\UserSettings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 224, 0, 0, 0, 30, 254
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserSettings\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\hooks\useAuth.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\hooks\useCrumbs.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
